Weight IDs and Descriptions from LHERunInfoProduct:
----------------------------------------
Weight ID: reference_point, Value: 0.188727, Description: N/A
Weight ID: EFTrwgt31_ctGIm_0p485_ctGRe_0p312_cQj38_m2p79_cQj18_m0p336_cQu8_1p376_cQd8_m0p046_ctj8_m1p232_ctu8_0p738_ctd8_m0p052_cQj31_m0p008_cQj11_m1p242_cQu1_m2p997_cQd1_0p688_ctj1_2p807_ctu1_m0p36_ctd1_1p555, Value: 0.0816723, Description: N/A
Weight ID: EFTrwgt32_ctGIm_m0p928_ctGRe_0p57_cQj38_m0p394_cQj18_m1p155_cQu8_1p32_cQd8_m0p999_ctj8_1p857_ctu8_0p669_ctd8_m1p703_cQj31_m1p388_cQj11_2p573_cQu1_2p005_cQd1_m2p705_ctj1_m2p664_ctu1_2p16_ctd1_m2p857, Value: 0.235092, Description: N/A
Weight ID: EFTrwgt33_ctGIm_0p101_ctGRe_m0p766_cQj38_m2p882_cQj18_m0p517_cQu8_0p474_cQd8_1p379_ctj8_m1p933_ctu8_m1p163_ctd8_0p157_cQj31_1p48_cQj11_m0p034_cQu1_m2p307_cQd1_1p076_ctj1_m2p402_ctu1_0p857_ctd1_0p433, Value: 0.125726, Description: N/A
Weight ID: EFTrwgt34_ctGIm_0p26_ctGRe_0p845_cQj38_1p349_cQj18_1p624_cQu8_m2p292_cQd8_1p01_ctj8_m1p369_ctu8_2p571_ctd8_2p644_cQj31_1p571_cQj11_m2p284_cQu1_m1p993_cQd1_1p345_ctj1_m2p597_ctu1_m0p901_ctd1_1p734, Value: 0.178258, Description: N/A
Weight ID: EFTrwgt35_ctGIm_m0p902_ctGRe_m0p954_cQj38_1p572_cQj18_m1p913_cQu8_1p044_cQd8_1p571_ctj8_1p676_ctu8_1p713_ctd8_m2p009_cQj31_2p518_cQj11_0p12_cQu1_m2p656_cQd1_m2p318_ctj1_2p312_ctu1_m2p176_ctd1_m0p839, Value: 0.141084, Description: N/A
Weight ID: EFTrwgt36_ctGIm_0p984_ctGRe_0p005_cQj38_m1p702_cQj18_2p939_cQu8_0p268_cQd8_1p399_ctj8_2p523_ctu8_m2p491_ctd8_1p693_cQj31_m2p858_cQj11_m2p509_cQu1_1p912_cQd1_1p462_ctj1_0p654_ctu1_m2p882_ctd1_m0p988, Value: 0.147403, Description: N/A
Weight ID: EFTrwgt37_ctGIm_m0p278_ctGRe_0p905_cQj38_m2p752_cQj18_2p725_cQu8_m2p44_cQd8_m1p331_ctj8_m2p547_ctu8_2p402_ctd8_1p095_cQj31_m0p511_cQj11_m1p842_cQu1_m2p305_cQd1_0p406_ctj1_2p521_ctu1_m0p633_ctd1_0p548, Value: 0.0309863, Description: N/A
Weight ID: EFTrwgt38_ctGIm_m0p839_ctGRe_0p348_cQj38_2p448_cQj18_2p324_cQu8_m2p785_cQd8_m0p32_ctj8_1p051_ctu8_m2p465_ctd8_m2p331_cQj31_m0p249_cQj11_0p856_cQu1_0p415_cQd1_2p052_ctj1_m0p41_ctu1_2p027_ctd1_1p419, Value: 0.0950368, Description: N/A
Weight ID: EFTrwgt39_ctGIm_m0p715_ctGRe_m0p736_cQj38_1p572_cQj18_1p39_cQu8_m0p418_cQd8_0p965_ctj8_2p991_ctu8_m0p714_ctd8_2p24_cQj31_m0p025_cQj11_2p514_cQu1_m0p963_cQd1_m2p02_ctj1_1p43_ctu1_m1p161_ctd1_0p067, Value: 0.168277, Description: N/A
Weight ID: EFTrwgt40_ctGIm_m0p971_ctGRe_0p285_cQj38_2p161_cQj18_m2p913_cQu8_m1p498_cQd8_0p128_ctj8_0p286_ctu8_2p373_ctd8_m2p473_cQj31_1p909_cQj11_1p208_cQu1_m0p158_cQd1_0p384_ctj1_2p235_ctu1_m2p63_ctd1_2p047, Value: 0.0465185, Description: N/A
Weight ID: EFTrwgt41_ctGIm_0p842_ctGRe_0p318_cQj38_m0p273_cQj18_m1p115_cQu8_2p026_cQd8_m1p202_ctj8_1p811_ctu8_m1p854_ctd8_m2p163_cQj31_m0p837_cQj11_m0p045_cQu1_m0p951_cQd1_2p424_ctj1_1p492_ctu1_1p554_ctd1_m0p938, Value: 0.0343862, Description: N/A
Weight ID: EFTrwgt42_ctGIm_0p355_ctGRe_m0p984_cQj38_m2p784_cQj18_m1p248_cQu8_m1p433_cQd8_1p778_ctj8_1p733_ctu8_0p252_ctd8_1p881_cQj31_m0p361_cQj11_2p687_cQu1_0p77_cQd1_1p937_ctj1_0p363_ctu1_0p193_ctd1_m2p534, Value: 0.187364, Description: N/A
Weight ID: EFTrwgt43_ctGIm_m0p849_ctGRe_0p925_cQj38_m2p618_cQj18_m2p086_cQu8_0p475_cQd8_m0p066_ctj8_1p241_ctu8_m2p555_ctd8_1p065_cQj31_m2p586_cQj11_m0p173_cQu1_m0p307_cQd1_m0p933_ctj1_m0p899_ctu1_m2p925_ctd1_0p4, Value: 0.04228, Description: N/A
Weight ID: EFTrwgt44_ctGIm_0p791_ctGRe_0p631_cQj38_2p371_cQj18_0p689_cQu8_0p938_cQd8_2p918_ctj8_0p7_ctu8_m1p658_ctd8_1p689_cQj31_2p794_cQj11_0p049_cQu1_2p861_cQd1_m0p523_ctj1_m0p026_ctu1_m0p288_ctd1_1p818, Value: 0.177343, Description: N/A
Weight ID: EFTrwgt45_ctGIm_m0p889_ctGRe_m0p161_cQj38_m1p305_cQj18_m2p158_cQu8_m1p988_cQd8_m1p759_ctj8_1p703_ctu8_m1p706_ctd8_0p347_cQj31_1p342_cQj11_0p787_cQu1_m2p858_cQd1_m0p011_ctj1_1p698_ctu1_2p533_ctd1_m2p709, Value: 0.0689549, Description: N/A
Weight ID: EFTrwgt46_ctGIm_m0p056_ctGRe_0p399_cQj38_m1p944_cQj18_m2p361_cQu8_m2p618_cQd8_m1p629_ctj8_0p605_ctu8_0p412_ctd8_0p818_cQj31_m0p854_cQj11_2p238_cQu1_0p128_cQd1_2p933_ctj1_m1p684_ctu1_2p967_ctd1_1p501, Value: 0.175043, Description: N/A
Weight ID: EFTrwgt47_ctGIm_m0p264_ctGRe_0p21_cQj38_1p114_cQj18_1p341_cQu8_1p908_cQd8_0p561_ctj8_1p79_ctu8_0p094_ctd8_1p761_cQj31_m1p872_cQj11_m1p391_cQu1_2p078_cQd1_m0p065_ctj1_m1p168_ctu1_1p803_ctd1_m0p54, Value: 0.0919147, Description: N/A
Weight ID: EFTrwgt48_ctGIm_0p657_ctGRe_0p548_cQj38_1p581_cQj18_m1p011_cQu8_m0p812_cQd8_0p949_ctj8_0p557_ctu8_m2p809_ctd8_1p165_cQj31_m2p086_cQj11_1p133_cQu1_m0p379_cQd1_m2p388_ctj1_m2p962_ctu1_1p623_ctd1_m1p439, Value: 0.209361, Description: N/A
Weight ID: EFTrwgt49_ctGIm_0p655_ctGRe_m0p911_cQj38_2p06_cQj18_2p498_cQu8_1p582_cQd8_m1p597_ctj8_2p768_ctu8_m1p638_ctd8_m2p249_cQj31_0p114_cQj11_2p313_cQu1_m0p307_cQd1_m0p466_ctj1_m2p069_ctu1_1p047_ctd1_1p064, Value: 0.0195784, Description: N/A
Weight ID: EFTrwgt50_ctGIm_m0p19_ctGRe_m0p18_cQj38_m0p984_cQj18_m2p674_cQu8_0p325_cQd8_m2p024_ctj8_m2p635_ctu8_m1p715_ctd8_2p229_cQj31_0p218_cQj11_m2p233_cQu1_m1p308_cQd1_m1p534_ctj1_m2p162_ctu1_0p723_ctd1_m2p969, Value: 0.194156, Description: N/A
Weight ID: EFTrwgt51_ctGIm_0p211_ctGRe_0p548_cQj38_2p509_cQj18_m2p392_cQu8_0p24_cQd8_m1p715_ctj8_m1p631_ctu8_m2p796_ctd8_m1p118_cQj31_1p052_cQj11_m1p625_cQu1_m1p949_cQd1_0p272_ctj1_m1p809_ctu1_1p235_ctd1_m0p317, Value: 0.00855005, Description: N/A
Weight ID: EFTrwgt52_ctGIm_0p235_ctGRe_m0p292_cQj38_1p224_cQj18_0p354_cQu8_0p931_cQd8_m0p412_ctj8_0p191_ctu8_1p304_ctd8_m1p682_cQj31_1p32_cQj11_m0p504_cQu1_m1p694_cQd1_m0p339_ctj1_0p167_ctu1_0p285_ctd1_m2p841, Value: 0.0957218, Description: N/A
Weight ID: EFTrwgt53_ctGIm_m0p127_ctGRe_0p246_cQj38_m2p679_cQj18_m0p827_cQu8_2p468_cQd8_m1p12_ctj8_m0p539_ctu8_m1p983_ctd8_m1p411_cQj31_0p202_cQj11_m1p152_cQu1_0p764_cQd1_m2p629_ctj1_1p9_ctu1_0p961_ctd1_1p803, Value: 0.027563, Description: N/A
Weight ID: EFTrwgt54_ctGIm_m0p696_ctGRe_m0p123_cQj38_m0p751_cQj18_1p814_cQu8_m1p4_cQd8_0p339_ctj8_m2p357_ctu8_m0p153_ctd8_0p678_cQj31_1p036_cQj11_m0p52_cQu1_m1p318_cQd1_0p013_ctj1_m1p65_ctu1_1p611_ctd1_1p787, Value: 0.0814755, Description: N/A
Weight ID: EFTrwgt55_ctGIm_0p596_ctGRe_0p848_cQj38_2p417_cQj18_2p596_cQu8_0p962_cQd8_m2p27_ctj8_1p051_ctu8_2p437_ctd8_2p628_cQj31_m2p523_cQj11_2p908_cQu1_m0p877_cQd1_m0p01_ctj1_m2p33_ctu1_1p659_ctd1_m2p05, Value: 0.0708382, Description: N/A
Weight ID: EFTrwgt56_ctGIm_m0p703_ctGRe_m0p44_cQj38_2p932_cQj18_m2p88_cQu8_2p703_cQd8_m1p676_ctj8_m2p146_ctu8_m2p875_ctd8_m0p857_cQj31_1p041_cQj11_m0p686_cQu1_0p845_cQd1_1p213_ctj1_m1p791_ctu1_m0p199_ctd1_1p421, Value: 0.0617605, Description: N/A
